n_samples,sim_type,model,metric,metric_value
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0234375
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.03125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.046875
256,multi_equal,might_viewtwo,sas98,0.03125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0234375
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0546875
256,multi_equal,might_viewtwo,sas98,0.03125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.03125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0390625
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.03125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0234375
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0625
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.03125
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0390625
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.046875
256,multi_equal,might_viewtwo,sas98,0.0625
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0390625
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0234375
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.046875
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.046875
256,multi_equal,might_viewtwo,sas98,0.015625
256,multi_equal,might_viewtwo,sas98,0.0703125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0234375
256,multi_equal,might_viewtwo,sas98,0.0390625
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0390625
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0078125
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0
256,multi_equal,might_viewtwo,sas98,0.0234375
512,multi_equal,might_viewtwo,sas98,0.0234375
512,multi_equal,might_viewtwo,sas98,0.00390625
512,multi_equal,might_viewtwo,sas98,0.00390625
512,multi_equal,might_viewtwo,sas98,0.04296875
512,multi_equal,might_viewtwo,sas98,0.01171875
512,multi_equal,might_viewtwo,sas98,0.02734375
512,multi_equal,might_viewtwo,sas98,0.02734375
512,multi_equal,might_viewtwo,sas98,0.0234375
512,multi_equal,might_viewtwo,sas98,0.0078125
512,multi_equal,might_viewtwo,sas98,0.01953125
512,multi_equal,might_viewtwo,sas98,0.015625
512,multi_equal,might_viewtwo,sas98,0.01171875
512,multi_equal,might_viewtwo,sas98,0.03515625
512,multi_equal,might_viewtwo,sas98,0.0234375
512,multi_equal,might_viewtwo,sas98,0.015625
512,multi_equal,might_viewtwo,sas98,0.015625
512,multi_equal,might_viewtwo,sas98,0.02734375
512,multi_equal,might_viewtwo,sas98,0.05078125
512,multi_equal,might_viewtwo,sas98,0.0234375
512,multi_equal,might_viewtwo,sas98,0.0078125
512,multi_equal,might_viewtwo,sas98,0.015625
512,multi_equal,might_viewtwo,sas98,0.015625
512,multi_equal,might_viewtwo,sas98,0.01171875
512,multi_equal,might_viewtwo,sas98,0.0078125
512,multi_equal,might_viewtwo,sas98,0.03515625
512,multi_equal,might_viewtwo,sas98,0.0078125
512,multi_equal,might_viewtwo,sas98,0.02734375
512,multi_equal,might_viewtwo,sas98,0.01953125
512,multi_equal,might_viewtwo,sas98,0.0078125
